# Bimod_Tag_ROM words=128 bits=16 mux=16 
# drive=6 frequency=5.000
# ring width=5
name      	ff_1.32_-40.0		tt_1.2_25.0		ss_1.08_125.0		ff_1.32_0.0	
S		N		N		N		N
geomx     	249.265   	249.265   	249.265   	249.265   
geomy     	110.925   	110.925   	110.925   	110.925   
ring_size 	11.200    	11.200    	11.200    	11.200    
volt      	1.320     	1.200     	1.080     	1.320     
temp      	-40.000   	25.000    	125.000   	0.000     
tcyc      	1.221     	1.758     	2.760     	1.290     
ta        	1.186     	1.717     	2.610     	1.258     
tas       	0.168     	0.234     	0.427     	0.174     
tah       	0.000     	0.000     	0.000     	0.000     
tcs       	0.210     	0.288     	0.440     	0.225     
tch       	0.000     	0.000     	0.000     	0.000     
tckh      	0.042     	0.069     	0.120     	0.048     
tckl      	0.067     	0.106     	0.189     	0.071     
tckr      	0.750     	1.000     	1.500     	0.750     
icap_a    	0.030     	0.028     	0.028     	0.030     
icap_clk  	0.377     	0.379     	0.376     	0.390     
icap_cen  	0.007     	0.007     	0.007     	0.008     
load_q    	0.506     	0.668     	0.955     	0.526     
icc       	5.29E-1   	5.36E-1   	4.69E-1   	5.49E-1   
icc_peak  	206.884   	134.245   	79.983    	195.918   
icc_desel 	2.15E-2   	1.93E-2   	1.79E-2   	2.27E-2   
icc_standby	2.76E-3   	2.62E-3   	1.41E-2   	4.91E-3   
pwn_ck    	10.000    	10.000    	10.000    	10.000    
vn_ck     	0.422     	0.394     	0.359     	0.391     
vn_pwr    	0.110     	0.100     	0.090     	0.090     
vn_gnd    	0.110     	0.100     	0.090     	0.090     
